Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Atlanta, GA metro area	June 2023	$400K	2.5%	-0.1%	8,201	-0.7%	-18.7%	11,790	4.3%	-23.4%	21,189	5.8%	-1.4%	25	-2	10	99.4%	0.0%	-2.3%
Atlanta, GA metro area	July 2023	$395K	-1.2%	0.5%	7,027	-14.3%	-18.4%	11,067	-6.1%	-17.8%	21,952	3.6%	-10.5%	25	0	8	99.3%	-0.1%	-1.2%
Atlanta, GA metro area	August 2023	$395K	0.0%	2.6%	7,610	8.3%	-14.0%	11,195	1.2%	-13.7%	22,347	1.8%	-12.8%	27	2	4	99.0%	-0.3%	-0.4%
Atlanta, GA metro area	September 2023	$390K	-1.3%	3.7%	6,514	-14.4%	-19.5%	10,098	-9.8%	-17.6%	22,959	2.7%	-15.7%	29	2	0	98.6%	-0.3%	0.0%
Atlanta, GA metro area	October 2023	$390K	0.1%	5.4%	6,107	-6.2%	-11.9%	9,848	-2.5%	-7.9%	23,054	0.4%	-16.2%	31	2	0	98.6%	0.0%	0.4%
Atlanta, GA metro area	November 2023	$390K	0.0%	5.4%	5,579	-8.6%	-8.8%	7,688	-21.9%	-4.8%	21,689	-5.9%	-16.6%	35	4	-1	98.4%	-0.2%	0.4%
Atlanta, GA metro area	December 2023	$380K	-2.6%	4.1%	5,778	3.6%	-5.9%	5,414	-29.6%	-11.8%	18,194	-16.1%	-19.4%	42	7	0	98.1%	-0.3%	0.2%
Atlanta, GA metro area	January 2024	$378K	-0.4%	7.1%	4,566	-21.0%	3.2%	7,968	47.2%	-7.6%	18,032	-0.9%	-15.3%	49	7	-4	98.0%	-0.1%	0.4%
Atlanta, GA metro area	February 2024	$390K	3.1%	6.8%	5,816	27.4%	-0.9%	9,011	13.1%	6.7%	19,072	5.8%	-4.4%	49	0	-4	98.3%	0.4%	0.3%
Atlanta, GA metro area	March 2024	$395K	1.3%	6.7%	7,045	21.1%	-10.0%	10,057	11.6%	-9.2%	20,102	5.4%	0.7%	37	-12	-4	98.8%	0.4%	0.2%
Atlanta, GA metro area	April 2024	$399K	1.0%	4.7%	7,421	5.3%	4.5%	10,819	7.6%	9.9%	21,609	7.5%	9.8%	32	-5	1	98.9%	0.1%	-0.2%
Atlanta, GA metro area	May 2024	$405K	1.5%	3.8%	8,040	8.3%	-2.6%	11,064	2.3%	-2.1%	23,464	8.6%	17.1%	30	-2	3	98.9%	0.0%	-0.5%
Atlanta, GA metro area	June 2024	$420K	3.7%	5.0%	6,991	-13.0%	-14.8%	10,480	-5.3%	-11.1%	24,988	6.5%	17.9%	33	3	8	98.8%	-0.1%	-0.5%
Atlanta, GA metro area	July 2024	$400K	-4.8%	1.3%	7,480	7.0%	6.4%	9,792	-6.6%	-11.5%	25,351	1.5%	15.5%	36	3	11	98.5%	-0.3%	-0.7%
Atlanta, GA metro area	August 2024	$396K	-1.0%	0.3%	6,918	-7.5%	-9.1%	9,366	-4.4%	-16.3%	25,534	0.7%	14.3%	42	6	15	98.1%	-0.4%	-0.8%
Atlanta, GA metro area	September 2024	$400K	1.0%	2.6%	6,183	-10.6%	-5.1%	8,315	-11.2%	-17.7%	25,974	1.7%	13.1%	46	4	17	98.2%	0.1%	-0.4%
Atlanta, GA metro area	October 2024	$395K	-1.2%	1.3%	6,499	5.1%	6.4%	8,726	4.9%	-11.4%	26,318	1.3%	14.2%	50	4	19	97.9%	-0.3%	-0.7%
Atlanta, GA metro area	November 2024	$392K	-0.8%	0.5%	5,584	-14.1%	0.1%	6,449	-26.1%	-16.1%	25,366	-3.6%	17.0%	52	2	17	98.0%	0.1%	-0.4%
Atlanta, GA metro area	December 2024	$393K	0.2%	3.4%	6,358	13.9%	10.0%	5,302	-17.8%	-2.1%	23,090	-9.0%	26.9%	59	7	17	97.9%	-0.2%	-0.2%
Atlanta, GA metro area	January 2025	$380K	-3.3%	0.4%	4,555	-28.4%	-0.2%	7,755	46.3%	-2.7%	23,933	3.7%	32.7%	69	10	20	97.5%	-0.3%	-0.4%
Atlanta, GA metro area	February 2025	$387K	1.9%	-0.8%	5,269	15.7%	-9.4%	8,609	11.0%	-4.5%	25,015	4.5%	31.2%	70	1	21	97.8%	0.3%	-0.5%
Atlanta, GA metro area	March 2025	$395K	2.1%	0.0%	6,470	22.8%	-8.2%	10,931	27.0%	8.7%	26,789	7.1%	33.3%	54	-16	17	98.1%	0.3%	-0.6%
Atlanta, GA metro area	April 2025	$400K	1.2%	0.2%	7,232	11.8%	-2.5%	10,999	0.6%	1.7%	28,873	7.8%	33.6%	43	-11	11	98.4%	0.2%	-0.5%
Atlanta, GA metro area	May 2025	$400K	0.0%	-1.2%	7,644	5.7%	-4.9%	10,799	-1.8%	-2.4%	30,083	4.2%	28.2%	41	-2	11	98.4%	0.0%	-0.5%
Atlanta, GA metro area	June 2025	$406K	1.4%	-3.4%	7,666	0.3%	9.7%	9,852	-8.8%	-6.0%	30,526	1.5%	22.2%	45	4	12	98.2%	-0.1%	-0.6%
Atlanta, GA metro area	July 2025	$400K	-1.4%	0.0%	7,127	-7.0%	-4.7%	9,378	-4.8%	-4.2%	30,445	-0.3%	20.1%	51	6	15	98.0%	-0.3%	-0.6%
Atlanta, GA metro area	August 2025	$399K	-0.2%	0.8%	6,522	-8.5%	-5.7%	8,279	-11.7%	-11.6%	29,220	-4.0%	14.4%	55	4	13	97.6%	-0.4%	-0.5%
Atlanta, GA metro area	September 2025	$395K	-1.0%	-1.2%	6,381	-2.2%	3.2%	7,908	-4.5%	-4.9%	26,981	-7.7%	3.9%	60	5	14	97.6%	0.0%	-0.6%
Boston, MA metro area	January 2012	$303K	-3.8%	-2.3%	2,120	-31.7%	1.6%	3,741	88.7%	14.8%	18,025	2.1%	-1.7%	133	6	1	95.7%	-0.2%	-0.1%
Boston, MA metro area	February 2012	$290K	-4.3%	0.2%	2,167	2.2%	31.3%	4,826	29.0%	32.8%	19,683	9.2%	2.8%	143	10	-4	95.7%	0.0%	0.0%
Boston, MA metro area	March 2012	$305K	5.2%	1.7%	2,892	33.5%	15.9%	7,182	48.8%	-0.2%	22,749	15.6%	0.9%	145	2	-2	96.1%	0.5%	0.3%
Boston, MA metro area	April 2012	$324K	6.1%	2.0%	3,268	13.0%	18.2%	6,755	-5.9%	-7.6%	25,019	10.0%	-2.9%	108	-37	-17	96.6%	0.4%	0.4%
Boston, MA metro area	May 2012	$340K	5.1%	3.0%	4,273	30.8%	28.8%	6,341	-6.1%	-6.2%	25,806	3.1%	-6.8%	93	-15	-4	97.2%	0.6%	0.8%
Boston, MA metro area	June 2012	$375K	10.3%	3.6%	5,281	23.6%	16.8%	5,456	-14.0%	-9.7%	24,517	-5.0%	-10.4%	93	0	0	97.3%	0.1%	0.7%
Boston, MA metro area	July 2012	$360K	-4.0%	1.4%	4,750	-10.1%	26.9%	4,337	-20.5%	-3.8%	22,754	-7.2%	-13.1%	95	2	-3	97.3%	-0.1%	0.7%
Boston, MA metro area	August 2012	$355K	-1.4%	1.4%	5,128	8.0%	25.8%	4,204	-3.1%	-3.4%	20,478	-10.0%	-16.4%	102	7	-4	97.3%	0.0%	0.9%
Boston, MA metro area	September 2012	$335K	-5.6%	2.1%	3,428	-33.2%	6.5%	5,175	23.1%	-1.7%	20,779	1.5%	-15.0%	105	3	-15	97.1%	-0.1%	0.9%
Boston, MA metro area	October 2012	$325K	-3.0%	8.3%	3,477	1.4%	26.1%	4,167	-19.5%	1.2%	19,838	-4.5%	-15.6%	105	0	-20	97.2%	0.0%	1.4%
Boston, MA metro area	November 2012	$336K	3.4%	4.3%	3,817	9.8%	32.5%	2,813	-32.5%	-3.1%	17,163	-13.5%	-18.0%	99	-6	-22	97.2%	0.1%	1.2%
Boston, MA metro area	December 2012	$343K	1.9%	8.7%	3,601	-5.7%	16.0%	1,686	-40.1%	-14.9%	13,914	-18.9%	-21.2%	102	3	-25	97.2%	0.0%	1.3%
Boston, MA metro area	January 2013	$325K	-5.1%	7.3%	2,556	-29.0%	20.6%	3,677	118.1%	-1.7%	14,138	1.6%	-21.6%	114	12	-19	96.9%	-0.3%	1.2%
Boston, MA metro area	February 2013	$317K	-2.5%	9.3%	2,089	-18.3%	-3.6%	4,010	9.1%	-16.9%	15,401	8.9%	-21.8%	127	13	-16	96.9%	0.0%	1.2%
Boston, MA metro area	March 2013	$325K	2.5%	6.6%	2,841	36.0%	-1.8%	5,616	40.0%	-21.8%	17,434	13.2%	-23.4%	112	-15	-33	97.3%	0.4%	1.2%
Boston, MA metro area	April 2013	$350K	7.7%	8.2%	3,438	21.0%	5.2%	7,850	39.8%	16.2%	20,974	20.3%	-16.2%	85	-27	-23	98.2%	0.9%	1.6%
Boston, MA metro area	May 2013	$365K	4.3%	7.4%	4,628	34.6%	8.3%	7,758	-1.2%	22.3%	23,111	10.2%	-10.4%	78	-7	-15	98.6%	0.4%	1.4%
Boston, MA metro area	June 2013	$390K	6.8%	4.0%	5,617	21.4%	6.4%	6,152	-20.7%	12.8%	22,721	-1.7%	-7.3%	78	0	-15	99.0%	0.4%	1.7%
Boston, MA metro area	July 2013	$386K	-1.0%	7.2%	5,872	4.5%	23.6%	5,079	-17.4%	17.1%	20,941	-7.8%	-8.0%	80	2	-15	99.0%	0.0%	1.8%
Boston, MA metro area	August 2013	$385K	-0.3%	8.5%	5,684	-3.2%	10.8%	4,790	-5.7%	13.9%	19,034	-9.1%	-7.1%	82	2	-20	98.8%	-0.2%	1.6%
Boston, MA metro area	September 2013	$370K	-3.9%	10.4%	4,159	-26.8%	21.3%	5,810	21.3%	12.3%	19,476	2.3%	-6.3%	85	3	-20	98.5%	-0.3%	1.4%
Boston, MA metro area	October 2013	$360K	-2.7%	10.8%	3,946	-5.1%	13.5%	4,863	-16.3%	16.7%	18,828	-3.3%	-5.1%	80	-5	-25	98.3%	-0.2%	1.2%
Boston, MA metro area	November 2013	$363K	0.7%	7.9%	3,627	-8.1%	-5.0%	2,946	-39.4%	4.7%	16,572	-12.0%	-3.4%	81	1	-18	98.1%	-0.2%	0.9%
Boston, MA metro area	December 2013	$371K	2.3%	8.3%	3,819	5.3%	6.1%	1,845	-37.4%	9.4%	13,146	-20.7%	-5.5%	86	5	-16	97.9%	-0.2%	0.7%
Boston, MA metro area	January 2014	$366K	-1.5%	12.5%	2,596	-32.0%	1.6%	3,267	77.1%	-11.2%	13,055	-0.7%	-7.7%	101	15	-13	97.8%	-0.1%	0.8%
Boston, MA metro area	February 2014	$340K	-7.0%	7.3%	2,066	-20.4%	-1.1%	3,959	21.2%	-1.3%	14,298	9.5%	-7.2%	114	13	-13	97.7%	-0.1%	0.8%
Boston, MA metro area	March 2014	$362K	6.5%	11.5%	2,774	34.3%	-2.4%	5,926	49.7%	5.5%	16,641	16.4%	-4.5%	96	-18	-16	98.4%	0.6%	1.0%
Boston, MA metro area	April 2014	$367K	1.3%	4.9%	3,318	19.6%	-3.5%	7,437	25.5%	-5.3%	19,792	18.9%	-5.6%	77	-19	-8	98.9%	0.5%	0.7%
Boston, MA metro area	May 2014	$383K	4.4%	5.0%	4,418	33.2%	-4.5%	7,732	4.0%	-0.3%	22,053	11.4%	-4.6%	73	-4	-5	99.3%	0.4%	0.7%
Boston, MA metro area	June 2014	$413K	7.7%	5.8%	5,623	27.3%	0.1%	6,680	-13.6%	8.6%	22,182	0.6%	-2.4%	75	2	-3	99.5%	0.2%	0.5%
Boston, MA metro area	July 2014	$405K	-1.8%	4.9%	5,610	-0.2%	-4.5%	5,269	-21.1%	3.7%	20,950	-5.6%	0.0%	75	0	-5	99.2%	-0.3%	0.2%
Boston, MA metro area	August 2014	$400K	-1.3%	3.8%	5,219	-7.0%	-8.2%	4,318	-18.0%	-9.9%	18,936	-9.6%	-0.5%	78	3	-4	98.9%	-0.3%	0.1%
Boston, MA metro area	September 2014	$377K	-5.8%	1.8%	4,082	-21.8%	-1.9%	5,829	35.0%	0.3%	19,330	2.1%	-0.7%	83	5	-2	98.4%	-0.6%	-0.1%
Boston, MA metro area	October 2014	$370K	-1.7%	2.8%	4,009	-1.8%	1.6%	4,919	-15.6%	1.2%	18,734	-3.1%	-0.5%	83	0	3	98.2%	-0.2%	-0.2%
Boston, MA metro area	November 2014	$381K	3.1%	5.2%	3,414	-14.8%	-5.9%	2,799	-43.1%	-5.0%	16,412	-12.4%	-1.0%	78	-5	-3	98.1%	0.0%	0.0%
Boston, MA metro area	December 2014	$389K	1.8%	4.7%	3,988	16.8%	4.4%	1,895	-32.3%	2.7%	12,645	-23.0%	-3.8%	86	8	0	98.1%	-0.1%	0.2%
Boston, MA metro area	January 2015	$385K	-0.9%	5.3%	2,508	-37.1%	-3.4%	2,949	55.6%	-9.7%	12,158	-3.9%	-6.9%	101	15	0	98.0%	0.0%	0.3%
Boston, MA metro area	February 2015	$367K	-4.7%	7.9%	2,020	-19.5%	-2.2%	2,427	-17.7%	-38.7%	10,229	-15.9%	-28.5%	109	8	-5	97.8%	-0.2%	0.1%
Boston, MA metro area	March 2015	$374K	1.9%	3.2%	2,602	28.8%	-6.2%	5,544	128.4%	-6.4%	9,306	-9.0%	-44.1%	99	-10	3	98.4%	0.6%	0.1%
Boston, MA metro area	April 2015	$383K	2.4%	4.4%	2,997	15.2%	-9.7%	8,331	50.3%	12.0%	10,876	16.9%	-45.0%	51	-48	-26	98.9%	0.4%	-0.1%
Boston, MA metro area	May 2015	$405K	5.7%	5.7%	4,033	34.6%	-8.7%	8,456	1.5%	9.4%	12,366	13.7%	-43.9%	13	-38	-60	99.7%	0.8%	0.4%
Boston, MA metro area	June 2015	$425K	4.9%	3.0%	6,229	54.5%	10.8%	7,692	-9.0%	15.1%	12,726	2.9%	-42.6%	10	-3	-65	100.1%	0.4%	0.6%
Boston, MA metro area	July 2015	$425K	0.0%	4.9%	6,407	2.9%	14.2%	5,847	-24.0%	11.0%	12,470	-2.0%	-40.5%	13	3	-62	99.9%	-0.1%	0.7%
Boston, MA metro area	August 2015	$420K	-1.2%	5.1%	5,797	-9.5%	11.1%	5,107	-12.7%	18.3%	12,139	-2.7%	-35.9%	16	3	-62	99.5%	-0.4%	0.6%
Boston, MA metro area	September 2015	$395K	-6.0%	4.9%	4,701	-18.9%	15.2%	6,488	27.0%	11.3%	13,114	8.0%	-32.2%	21	5	-62	99.0%	-0.5%	0.6%
Boston, MA metro area	October 2015	$390K	-1.3%	5.4%	4,305	-8.4%	7.4%	5,274	-18.7%	7.2%	12,292	-6.3%	-34.4%	23	2	-60	98.7%	-0.3%	0.5%
Boston, MA metro area	November 2015	$400K	2.6%	4.9%	3,696	-14.1%	8.3%	3,299	-37.4%	17.9%	10,371	-15.6%	-36.8%	24	1	-54	98.7%	0.0%	0.6%
Boston, MA metro area	December 2015	$400K	0.0%	3.0%	4,479	21.2%	12.3%	2,114	-35.9%	11.6%	8,218	-20.8%	-35.0%	28	4	-58	98.4%	-0.3%	0.3%
Boston, MA metro area	January 2016	$395K	-1.3%	2.6%	3,092	-31.0%	23.3%	3,303	56.2%	12.0%	7,901	-3.9%	-35.0%	36	8	-65	98.1%	-0.3%	0.1%
Boston, MA metro area	February 2016	$375K	-5.1%	2.2%	2,371	-23.3%	17.4%	4,032	22.1%	66.1%	7,845	-0.7%	-23.3%	47	11	-62	98.1%	0.0%	0.3%
Boston, MA metro area	March 2016	$390K	4.0%	4.3%	3,202	35.0%	23.1%	7,086	75.7%	27.8%	9,249	17.9%	-0.6%	31	-16	-68	98.9%	0.8%	0.4%
Boston, MA metro area	April 2016	$415K	6.4%	8.4%	3,670	14.6%	22.5%	7,117	0.4%	-14.6%	10,013	8.3%	-7.9%	16	-15	-35	99.5%	0.6%	0.6%
Boston, MA metro area	May 2016	$425K	2.4%	4.9%	4,623	26.0%	14.6%	7,189	1.0%	-15.0%	10,269	2.6%	-17.0%	11	-5	-2	100.1%	0.6%	0.4%
Boston, MA metro area	June 2016	$449K	5.6%	5.6%	6,467	39.9%	3.8%	7,078	-1.5%	-8.0%	10,750	4.7%	-15.5%	10	-1	0	100.2%	0.2%	0.2%
Boston, MA metro area	July 2016	$445K	-0.9%	4.7%	5,466	-15.5%	-14.7%	5,198	-26.6%	-11.1%	10,527	-2.1%	-15.6%	11	1	-2	100.2%	-0.1%	0.2%
Boston, MA metro area	August 2016	$439K	-1.4%	4.5%	5,971	9.2%	3.0%	4,830	-7.1%	-5.4%	9,959	-5.4%	-18.0%	14	3	-2	99.9%	-0.3%	0.4%
Boston, MA metro area	September 2016	$419K	-4.5%	6.1%	4,702	-21.3%	0.0%	6,300	30.4%	-2.9%	10,972	10.2%	-16.3%	18	4	-3	99.4%	-0.4%	0.5%
Boston, MA metro area	October 2016	$415K	-1.0%	6.4%	4,099	-12.8%	-4.8%	4,650	-26.2%	-11.8%	10,108	-7.9%	-17.8%	19	1	-4	99.3%	-0.2%	0.6%
Boston, MA metro area	November 2016	$427K	2.9%	6.7%	4,375	6.7%	18.4%	3,308	-28.9%	0.3%	8,411	-16.8%	-18.9%	19	0	-5	99.4%	0.1%	0.7%
Boston, MA metro area	December 2016	$420K	-1.6%	5.0%	4,371	-0.1%	-2.4%	1,868	-43.5%	-11.6%	6,583	-21.7%	-19.9%	24	5	-4	98.9%	-0.4%	0.5%
Boston, MA metro area	January 2017	$422K	0.5%	6.9%	3,208	-26.6%	3.8%	3,462	85.3%	4.8%	6,423	-2.4%	-18.7%	31	7	-5	98.7%	-0.3%	0.6%
Boston, MA metro area	February 2017	$400K	-5.3%	6.7%	2,232	-30.4%	-5.9%	3,716	7.3%	-7.8%	6,539	1.8%	-16.6%	36	5	-11	98.9%	0.2%	0.8%
Boston, MA metro area	March 2017	$430K	7.6%	10.3%	3,454	54.7%	7.9%	6,364	71.3%	-10.2%	7,409	13.3%	-19.9%	21	-15	-10	99.6%	0.7%	0.8%
Boston, MA metro area	April 2017	$446K	3.6%	7.5%	3,279	-5.1%	-10.7%	6,470	1.7%	-9.1%	8,333	12.5%	-16.8%	12	-9	-4	100.3%	0.7%	0.8%
Boston, MA metro area	May 2017	$455K	2.0%	7.1%	4,699	43.3%	1.6%	7,646	18.2%	6.4%	9,051	8.6%	-11.9%	10	-2	-1	100.9%	0.6%	0.9%
Boston, MA metro area	June 2017	$475K	4.4%	5.8%	6,496	38.2%	0.4%	6,847	-10.4%	-3.3%	9,168	1.3%	-14.7%	9	-1	-1	101.2%	0.2%	0.9%
Boston, MA metro area	July 2017	$475K	0.0%	6.7%	5,482	-15.6%	0.3%	5,123	-25.2%	-1.4%	9,021	-1.6%	-14.3%	10	1	-1	101.0%	-0.1%	0.9%
Boston, MA metro area	August 2017	$465K	-2.1%	6.0%	5,876	7.2%	-1.6%	4,940	-3.6%	2.3%	8,609	-4.6%	-13.6%	13	3	-1	100.4%	-0.6%	0.6%
Boston, MA metro area	September 2017	$449K	-3.4%	7.2%	4,472	-23.9%	-4.9%	6,284	27.2%	-0.3%	9,570	11.2%	-12.8%	15	2	-3	100.0%	-0.4%	0.6%
Boston, MA metro area	October 2017	$445K	-0.9%	7.2%	4,377	-2.1%	6.8%	4,822	-23.3%	3.7%	8,828	-7.8%	-12.7%	14	-1	-5	100.0%	-0.1%	0.7%
Boston, MA metro area	November 2017	$455K	2.2%	6.6%	4,553	4.0%	4.1%	3,616	-25.0%	9.3%	7,591	-14.0%	-9.7%	15	1	-4	99.8%	-0.2%	0.4%
Boston, MA metro area	December 2017	$455K	0.0%	8.3%	3,993	-12.3%	-8.6%	1,732	-52.1%	-7.3%	5,619	-26.0%	-14.6%	21	6	-3	99.4%	-0.3%	0.5%
Boston, MA metro area	January 2018	$455K	0.0%	7.8%	3,056	-23.5%	-4.7%	3,009	73.7%	-13.1%	5,326	-5.2%	-17.1%	26	5	-5	99.2%	-0.3%	0.5%
Boston, MA metro area	February 2018	$440K	-3.3%	10.0%	2,169	-29.0%	-2.8%	4,183	39.0%	12.6%	5,759	8.1%	-11.9%	29	3	-7	99.3%	0.2%	0.5%
Boston, MA metro area	March 2018	$465K	5.7%	8.1%	3,199	47.5%	-7.4%	5,302	26.8%	-16.7%	5,959	3.5%	-19.6%	17	-12	-4	100.1%	0.7%	0.4%
Boston, MA metro area	April 2018	$484K	4.1%	8.5%	3,629	13.4%	10.7%	7,383	39.2%	14.1%	7,664	28.6%	-8.0%	10	-7	-2	101.0%	0.9%	0.7%
Boston, MA metro area	May 2018	$495K	2.3%	8.8%	4,651	28.2%	-1.0%	8,387	13.6%	9.7%	9,158	19.5%	1.2%	9	-1	-1	101.3%	0.3%	0.4%
Boston, MA metro area	June 2018	$513K	3.7%	8.1%	6,342	36.4%	-2.4%	6,910	-17.6%	0.9%	9,435	3.0%	2.9%	9	0	0	101.3%	-0.1%	0.1%
Boston, MA metro area	July 2018	$515K	0.3%	8.4%	5,841	-7.9%	6.5%	5,281	-23.6%	3.1%	9,106	-3.5%	0.9%	9	0	-1	101.1%	-0.1%	0.1%
Boston, MA metro area	August 2018	$500K	-2.9%	7.5%	6,097	4.4%	3.8%	5,045	-4.5%	2.1%	9,017	-1.0%	4.7%	13	4	0	100.3%	-0.9%	-0.2%
Boston, MA metro area	September 2018	$470K	-6.0%	4.6%	4,017	-34.1%	-10.2%	6,533	29.5%	4.0%	10,654	18.2%	11.3%	17	4	2	99.8%	-0.5%	-0.3%
Boston, MA metro area	October 2018	$470K	0.0%	5.6%	4,324	7.6%	-1.2%	5,609	-14.1%	16.3%	10,643	-0.1%	20.6%	16	-1	2	99.7%	-0.1%	-0.3%
Boston, MA metro area	November 2018	$475K	1.1%	4.4%	4,524	4.6%	-0.6%	3,495	-37.7%	-3.3%	9,146	-14.1%	20.5%	17	1	2	99.4%	-0.3%	-0.4%
Boston, MA metro area	December 2018	$458K	-3.6%	0.7%	3,763	-16.8%	-5.8%	1,689	-51.7%	-2.5%	7,040	-23.0%	25.3%	24	7	3	98.9%	-0.5%	-0.6%
Boston, MA metro area	January 2019	$473K	3.2%	3.9%	2,774	-26.3%	-9.2%	3,815	125.9%	26.8%	7,045	0.1%	32.3%	34	10	8	98.6%	-0.3%	-0.6%
Boston, MA metro area	February 2019	$455K	-3.8%	3.4%	2,486	-10.4%	14.6%	3,979	4.3%	-4.9%	7,220	2.5%	25.4%	39	5	10	98.4%	-0.1%	-0.9%
Boston, MA metro area	March 2019	$475K	4.4%	2.2%	3,313	33.3%	3.6%	6,000	50.8%	13.2%	7,898	9.4%	32.5%	23	-16	6	99.3%	0.9%	-0.7%
Boston, MA metro area	April 2019	$485K	2.1%	0.2%	3,801	14.7%	4.7%	7,136	18.9%	-3.3%	8,943	13.2%	16.7%	15	-8	5	99.8%	0.4%	-1.2%
Boston, MA metro area	May 2019	$520K	7.2%	5.1%	5,018	32.0%	7.9%	8,371	17.3%	-0.2%	10,543	17.9%	15.1%	11	-4	2	100.3%	0.5%	-1.1%
Boston, MA metro area	June 2019	$529K	1.7%	3.1%	5,740	14.4%	-9.5%	6,625	-20.9%	-4.1%	12,260	16.3%	29.9%	10	-1	1	100.3%	0.1%	-0.9%
Boston, MA metro area	July 2019	$530K	0.2%	2.9%	5,762	0.4%	-1.4%	5,006	-24.4%	-5.2%	11,302	-7.8%	24.1%	15	5	6	100.2%	-0.1%	-0.9%
Boston, MA metro area	August 2019	$515K	-2.8%	3.0%	5,760	0.0%	-5.5%	4,469	-10.7%	-11.4%	10,382	-8.1%	15.1%	24	9	11	99.8%	-0.4%	-0.5%
Boston, MA metro area	September 2019	$490K	-4.9%	4.3%	4,200	-27.1%	4.6%	6,549	46.5%	0.2%	11,892	14.5%	11.6%	27	3	10	99.5%	-0.3%	-0.3%
Boston, MA metro area	October 2019	$485K	-1.0%	3.2%	4,324	3.0%	0.0%	5,342	-18.4%	-4.8%	11,215	-5.7%	5.4%	27	0	11	99.4%	0.0%	-0.3%
Boston, MA metro area	November 2019	$492K	1.3%	3.5%	4,115	-4.8%	-9.0%	2,909	-45.5%	-16.8%	8,793	-21.6%	-3.9%	28	1	11	99.4%	0.0%	0.0%
Boston, MA metro area	December 2019	$500K	1.7%	9.2%	4,434	7.8%	17.8%	1,603	-44.9%	-5.1%	6,205	-29.4%	-11.9%	34	6	10	99.0%	-0.4%	0.1%
Boston, MA metro area	January 2020	$505K	1.0%	6.8%	3,052	-31.2%	10.0%	3,331	107.8%	-12.7%	6,390	3.0%	-9.3%	42	8	8	98.6%	-0.4%	0.1%
Boston, MA metro area	February 2020	$496K	-1.8%	9.0%	2,426	-20.5%	-2.4%	4,513	35.5%	13.4%	7,172	12.2%	-0.7%	49	7	10	98.9%	0.3%	0.5%
Boston, MA metro area	March 2020	$521K	5.1%	9.7%	3,242	33.6%	-2.1%	5,248	16.3%	-12.5%	7,418	3.4%	-6.1%	25	-24	2	100.0%	1.1%	0.7%
Boston, MA metro area	April 2020	$538K	3.1%	10.8%	3,199	-1.3%	-15.8%	3,288	-37.3%	-53.9%	7,573	2.1%	-15.3%	21	-4	6	100.5%	0.4%	0.7%
Boston, MA metro area	May 2020	$530K	-1.4%	1.9%	3,094	-3.3%	-38.3%	5,574	69.5%	-33.4%	8,637	14.0%	-18.1%	21	0	10	99.8%	-0.7%	-0.5%
Boston, MA metro area	June 2020	$540K	1.9%	2.1%	4,123	33.3%	-28.2%	6,872	23.3%	3.7%	9,039	4.7%	-26.3%	22	1	12	99.9%	0.1%	-0.4%
Boston, MA metro area	July 2020	$555K	2.8%	4.7%	5,501	33.4%	-4.5%	6,422	-6.5%	28.3%	9,011	-0.3%	-20.3%	20	-2	5	100.6%	0.7%	0.4%
Boston, MA metro area	August 2020	$569K	2.5%	10.5%	5,572	1.3%	-3.3%	5,779	-10.0%	29.3%	8,497	-5.7%	-18.2%	21	1	-3	100.9%	0.2%	1.1%
Boston, MA metro area	September 2020	$560K	-1.6%	14.3%	5,230	-6.1%	24.5%	6,887	19.2%	5.2%	9,483	11.6%	-20.3%	20	-1	-7	101.1%	0.2%	1.6%
Boston, MA metro area	October 2020	$550K	-1.8%	13.4%	5,264	0.7%	21.7%	6,228	-9.6%	16.6%	9,348	-1.4%	-16.6%	20	0	-7	101.2%	0.2%	1.8%
Boston, MA metro area	November 2020	$550K	0.0%	11.9%	4,665	-11.4%	13.4%	3,630	-41.7%	24.8%	7,422	-20.6%	-15.6%	21	1	-7	101.4%	0.2%	2.0%
Boston, MA metro area	December 2020	$550K	0.0%	10.0%	5,290	13.4%	19.3%	2,258	-37.8%	40.9%	5,083	-31.5%	-18.1%	22	1	-12	100.8%	-0.6%	1.8%
Boston, MA metro area	January 2021	$557K	1.2%	10.2%	3,396	-35.8%	11.3%	3,353	48.5%	0.7%	5,215	2.6%	-18.4%	24	2	-18	100.5%	-0.3%	1.8%
Boston, MA metro area	February 2021	$550K	-1.2%	10.9%	2,582	-24.0%	6.4%	3,831	14.3%	-15.1%	5,120	-1.8%	-28.6%	27	3	-22	100.4%	0.0%	1.5%
Boston, MA metro area	March 2021	$577K	4.9%	10.7%	3,661	41.8%	12.9%	6,199	61.8%	18.1%	5,678	10.9%	-23.5%	20	-7	-5	102.1%	1.7%	2.1%
Boston, MA metro area	April 2021	$601K	4.2%	11.8%	4,291	17.2%	34.1%	6,956	12.2%	111.6%	6,550	15.4%	-13.5%	19	-1	-2	103.2%	1.0%	2.7%
Boston, MA metro area	May 2021	$620K	3.2%	17.0%	4,884	13.8%	57.9%	6,120	-12.0%	9.8%	6,200	-5.3%	-28.2%	18	-1	-3	104.2%	1.0%	4.4%
